op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,2224.807,3036.432,0.016,40.000,270.000,60.035,99.965,410.000
enc-1st-layernorm,212.351,655.879,40.000,80.000,0.000,40.031,0.000,320.000
enc-attention-qkv,3999.413,7890.283,80.000,100.000,75.000,60.000,60.000,380.000
enc-attention-score,1079.201,1474.780,100.000,380.000,0.000,320.000,320.000,700.000
enc-attention-softmax,765.020,1008.098,380.000,380.000,0.000,320.000,0.000,960.000
enc-attention-dropout,1202.376,1032.367,380.000,380.000,0.000,480.000,0.000,1280.000
enc-attention-context,823.071,1671.268,380.000,60.000,0.000,20.000,20.000,380.000
enc-attention-dense,2505.552,2100.030,60.000,80.010,25.000,40.000,0.000,166.000
enc-post-attention-dropout,451.999,253.530,80.010,40.000,0.000,60.000,40.000,240.000
enc-2nd-layernorm,209.347,652.968,40.000,80.000,0.000,40.031,0.000,320.000
enc-MLP-GEMM-1,5042.270,9620.098,80.000,120.020,100.000,80.000,0.000,380.000
enc-MLP-gelu,230.807,436.647,120.020,120.000,0.000,80.000,0.000,400.000
enc-MLP-GEMM-2,6400.563,8486.681,120.000,80.010,100.000,40.000,0.000,300.000
enc-post-MLP-dropout,451.299,240.744,80.010,40.000,0.000,60.000,40.000,240.000
final-layernorm,346.808,1561.030,40.000,40.000,0.000,80.031,0.000,160.000
gpt-post-process,16221.160,22809.833,40.000,0.000,250.000,400.051,199.949,0.000
