data_size(MB),time(ms)
30,0.727
20,0.651
40,0.944
60,1.351
80,1.763
320,6.358
360,7.095
480,9.372
100,2.826
400,9.900
50,1.476
160,3.313
190,5.074
240,4.846
10,0.302
200,5.319
70,1.555
15,0.409
35,1.090
105,2.248
120,2.548
5,0.189
25,0.616
55,1.630
7,0.234
27,0.861
62,1.416
2,0.126
22,0.705
57,1.713
37,0.867
47,1.423
17,0.458
640,12.232
720,13.730
960,17.850
800,18.828
380,7.479
140,2.914
210,4.289
110,3.103
125,2.634
45,1.037
115,3.229
75,1.655
95,2.737
1280,23.587
1440,26.179
1920,34.534
1600,36.541
760,14.426
280,5.641
420,8.232
220,5.782
250,5.039
90,1.959
230,6.026
150,3.132
2560,45.002
2880,50.966
3840,67.470
3200,71.865
1520,27.656
560,10.828
840,15.854
440,10.787
500,9.749
180,3.704
460,11.238
300,5.991
