data_size(MB),time(ms)
3,0.170
2,0.129
4,0.217
6,0.295
8,0.394
64,2.470
68,2.661
96,3.699
10,0.436
400,22.358
5,0.246
32,1.271
35,2.115
48,1.867
1,0.088
200,11.337
36,1.417
7,0.321
16,0.696
18,0.738
24,0.965
0,0.075
100,5.828
20,1.235
12,0.530
50,2.985
128,4.843
136,5.116
192,7.123
800,44.458
70,2.691
72,2.762
14,0.888
37,1.454
40,1.567
11,0.498
9,0.406
256,9.427
272,10.011
384,13.975
1600,88.439
140,5.257
144,5.414
28,1.704
74,2.836
80,3.059
22,0.932
41,1.655
23,1.413
15,0.626
19,0.815
512,18.473
544,19.645
768,27.597
3200,1000000000.000
280,10.269
288,10.561
56,3.381
148,5.561
160,5.992
44,1.799
82,3.132
46,2.746
30,1.191
38,1.565
