op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,4647.396,2274.365,9.188,245.000,0.045,246.000,310.000,246.000
bn1,1088.325,1886.022,245.000,245.000,0.002,246.003,0.000,492.000
relu1,629.005,940.570,245.000,245.000,0.000,246.000,0.000,492.000
maxpool,581.845,2496.498,245.000,61.250,0.000,184.500,1.500,308.000
block-0-0-conv1,1800.426,2145.520,61.250,122.500,0.098,78.000,48.000,280.000
block-0-0-bn1,274.527,467.190,122.500,122.500,0.002,62.003,0.000,124.000
block-0-0-conv2,32523.770,30192.747,122.500,1041.250,14.062,996.000,2344.000,2296.000
block-0-0-bn2,4008.107,7234.958,1041.250,1041.250,0.039,980.039,0.000,1960.000
block-0-0-conv3,18612.984,40951.034,1041.250,306.250,6.250,492.000,492.000,1970.000
block-0-0-bn3,1072.369,1737.425,306.250,306.250,0.010,246.010,0.000,492.000
block-0-0-downsample,8189.447,5553.539,306.250,245.000,0.391,508.010,293.990,246.000
block-0-0-relu,629.085,940.800,245.000,245.000,0.000,246.000,0.000,492.000
block-0-1-conv1,2811.741,7088.507,245.000,306.250,0.391,124.000,124.000,986.000
block-0-1-bn1,274.527,467.190,306.250,306.250,0.002,62.003,0.000,124.000
block-0-1-conv2,32523.770,30192.747,306.250,1225.000,14.062,996.000,2344.000,2296.000
block-0-1-bn2,4008.107,7234.958,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-1-conv3,18612.984,40951.034,1225.000,490.000,6.250,492.000,492.000,1970.000
block-0-1-bn3,1072.369,1737.425,490.000,490.000,0.010,246.010,0.000,492.000
block-0-1-downsample,939.896,48.798,490.000,245.000,0.000,246.000,0.000,246.000
block-0-1-relu,629.085,940.800,245.000,245.000,0.000,246.000,0.000,492.000
block-0-2-conv1,2811.741,7088.507,245.000,306.250,0.391,124.000,124.000,986.000
block-0-2-bn1,274.527,467.190,306.250,306.250,0.002,62.003,0.000,124.000
block-0-2-conv2,32523.770,30192.747,306.250,1225.000,14.062,996.000,2344.000,2296.000
block-0-2-bn2,4008.107,7234.958,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-2-conv3,18612.984,40951.034,1225.000,490.000,6.250,492.000,492.000,1970.000
block-0-2-bn3,1072.369,1737.425,490.000,490.000,0.010,246.010,0.000,492.000
block-0-2-downsample,939.896,48.798,490.000,245.000,0.000,246.000,0.000,246.000
block-0-2-relu,629.085,940.800,245.000,245.000,0.000,246.000,0.000,492.000
block-1-0-conv1,4733.254,8723.568,245.000,367.500,0.781,184.500,187.500,988.000
block-1-0-bn1,580.392,916.462,367.500,367.500,0.005,122.505,1.495,248.000
block-1-0-conv2,35832.399,67955.116,367.500,735.000,56.250,520.625,155.375,672.000
block-1-0-bn2,1897.100,3626.364,735.000,735.000,0.078,490.078,0.000,980.000
block-1-0-conv3,15232.826,32518.033,735.000,367.500,25.000,245.000,251.000,1038.000
block-1-0-bn3,527.806,946.163,367.500,367.500,0.020,122.520,1.480,248.000
