op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,3164.662,1840.210,9.188,171.500,0.031,172.000,220.000,172.000
bn1,747.229,1229.869,171.500,171.500,0.002,172.002,0.000,344.000
relu1,441.428,659.870,171.500,171.500,0.000,172.000,0.000,344.000
maxpool,408.955,1758.224,171.500,42.875,0.000,128.875,1.125,216.000
block-0-0-conv1,1287.396,1300.181,42.875,85.750,0.048,53.594,38.406,200.000
block-0-0-bn1,184.742,300.108,85.750,85.750,0.002,42.877,1.123,88.000
block-0-0-conv2,2976.497,3004.895,85.750,128.625,0.861,96.719,259.281,222.000
block-0-0-bn2,375.174,636.438,128.625,128.625,0.003,86.004,0.000,172.000
block-0-0-conv3,4681.036,3496.579,128.625,214.375,0.383,194.000,66.000,302.000
block-0-0-bn3,718.908,1241.251,214.375,214.375,0.007,172.007,0.000,344.000
block-0-0-downsample,5712.185,3633.220,214.375,171.500,0.191,354.726,209.274,172.000
block-0-0-relu,441.427,659.751,171.500,171.500,0.000,172.000,0.000,344.000
block-0-1-conv1,1926.523,4589.809,171.500,214.375,0.191,85.750,90.250,692.000
block-0-1-bn1,184.742,300.108,214.375,214.375,0.002,42.877,1.123,88.000
block-0-1-conv2,2976.497,3004.895,214.375,257.250,0.861,96.719,259.281,222.000
block-0-1-bn2,375.174,636.438,257.250,257.250,0.003,86.004,0.000,172.000
block-0-1-conv3,4681.036,3496.579,257.250,343.000,0.383,194.000,66.000,302.000
block-0-1-bn3,718.908,1241.251,343.000,343.000,0.007,172.007,0.000,344.000
block-0-1-downsample,659.342,47.562,343.000,171.500,0.000,172.000,0.000,172.000
block-0-1-relu,441.427,659.751,171.500,171.500,0.000,172.000,0.000,344.000
block-0-2-conv1,1926.523,4589.809,171.500,214.375,0.191,85.750,90.250,692.000
block-0-2-bn1,184.742,300.108,214.375,214.375,0.002,42.877,1.123,88.000
block-0-2-conv2,2976.497,3004.895,214.375,257.250,0.861,96.719,259.281,222.000
block-0-2-bn2,375.174,636.438,257.250,257.250,0.003,86.004,0.000,172.000
block-0-2-conv3,4681.036,3496.579,257.250,343.000,0.383,194.000,66.000,302.000
block-0-2-bn3,718.908,1241.251,343.000,343.000,0.007,172.007,0.000,344.000
block-0-2-downsample,659.342,47.562,343.000,171.500,0.000,172.000,0.000,172.000
block-0-2-relu,441.427,659.751,171.500,171.500,0.000,172.000,0.000,344.000
block-1-0-conv1,3112.614,5502.563,171.500,257.250,0.383,128.875,133.125,690.000
block-1-0-bn1,375.174,636.438,257.250,257.250,0.003,86.004,0.000,172.000
block-1-0-conv2,2876.968,5235.796,257.250,214.375,3.445,64.312,45.688,174.000
block-1-0-bn2,188.866,308.464,214.375,214.375,0.007,42.882,1.118,88.000
block-1-0-conv3,2794.772,2590.091,214.375,257.250,1.531,96.719,25.281,170.000
block-1-0-bn3,349.485,631.156,257.250,257.250,0.014,86.014,0.000,172.000
block-1-0-downsample,3952.459,5754.913,257.250,85.750,1.531,214.889,219.111,258.000
block-1-0-relu,245.513,354.251,85.750,85.750,0.000,86.000,0.000,172.000
block-1-1-conv1,1282.153,2779.934,85.750,107.188,0.766,44.000,44.000,360.000
block-1-1-bn1,158.492,155.890,107.188,107.188,0.003,22.004,0.000,44.000
block-1-1-conv2,1897.551,2148.399,107.188,128.625,3.445,48.234,139.766,124.000
block-1-1-bn2,188.866,308.464,128.625,128.625,0.007,42.882,1.118,88.000
block-1-1-conv3,2794.772,2590.091,128.625,171.500,1.531,96.719,25.281,170.000
block-1-1-bn3,349.485,631.156,171.500,171.500,0.014,86.014,0.000,172.000
block-1-1-downsample,331.529,48.541,171.500,85.750,0.000,86.000,0.000,86.000
block-1-1-relu,245.513,354.251,85.750,85.750,0.000,86.000,0.000,172.000
block-1-2-conv1,1282.153,2779.934,85.750,107.188,0.766,44.000,44.000,360.000
block-1-2-bn1,158.492,155.890,107.188,107.188,0.003,22.004,0.000,44.000
block-1-2-conv2,1897.551,2148.399,107.188,128.625,3.445,48.234,139.766,124.000
block-1-2-bn2,188.866,308.464,128.625,128.625,0.007,42.882,1.118,88.000
block-1-2-conv3,2794.772,2590.091,128.625,171.500,1.531,96.719,25.281,170.000
block-1-2-bn3,349.485,631.156,171.500,171.500,0.014,86.014,0.000,172.000
block-1-2-downsample,331.529,48.541,171.500,85.750,0.000,86.000,0.000,86.000
block-1-2-relu,245.513,354.251,85.750,85.750,0.000,86.000,0.000,172.000
block-1-3-conv1,1282.153,2779.934,85.750,107.188,0.766,44.000,44.000,360.000
block-1-3-bn1,158.492,155.890,107.188,107.188,0.003,22.004,0.000,44.000
block-1-3-conv2,1897.551,2148.399,107.188,128.625,3.445,48.234,139.766,124.000
block-1-3-bn2,188.866,308.464,128.625,128.625,0.007,42.882,1.118,88.000
block-1-3-conv3,2794.772,2590.091,128.625,171.500,1.531,96.719,25.281,170.000
block-1-3-bn3,349.485,631.156,171.500,171.500,0.014,86.014,0.000,172.000
block-1-3-downsample,331.529,48.541,171.500,85.750,0.000,86.000,0.000,86.000
block-1-3-relu,245.513,354.251,85.750,85.750,0.000,86.000,0.000,172.000
block-2-0-conv1,2047.290,3498.781,85.750,128.625,1.531,64.312,0.000,394.000
block-2-0-bn1,188.866,308.464,128.625,128.625,0.007,42.882,1.118,88.000
block-2-0-conv2,2651.066,4917.219,128.625,107.188,13.781,32.719,51.281,80.000
