op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,13493.366,17186.859,36.750,980.000,0.179,980.000,1960.000,0.000
bn1,4513.370,7678.082,980.000,980.000,0.002,980.003,0.000,1960.000
relu1,2506.794,3748.450,980.000,980.000,0.000,980.000,0.000,1960.000
maxpool,2304.450,10588.320,980.000,245.000,0.000,736.000,0.000,1226.000
block-0-0-conv1,3139.162,10873.969,245.000,490.000,0.391,246.000,0.000,1230.000
block-0-0-bn1,1067.843,1864.139,490.000,490.000,0.002,246.003,0.000,492.000
block-0-0-conv2,140081.062,524631.419,490.000,4165.000,56.250,3920.000,9690.000,9690.000
block-0-0-bn2,16587.936,28987.155,4165.000,4165.000,0.039,3920.039,0.000,7840.000
block-0-0-conv3,191151.822,416484.232,4165.000,1225.000,25.000,980.000,0.000,12766.000
block-0-0-bn3,4213.785,6979.020,1225.000,1225.000,0.010,980.010,0.000,1960.000
block-0-0-downsample,19538.687,34700.739,1225.000,980.000,1.562,1960.010,979.990,1474.000
block-0-0-relu,2506.824,3748.649,980.000,980.000,0.000,980.000,0.000,1960.000
block-0-1-conv1,12299.211,43057.680,980.000,1225.000,1.562,246.000,0.000,4166.000
block-0-1-bn1,1067.843,1864.139,1225.000,1225.000,0.002,246.003,0.000,492.000
block-0-1-conv2,140081.062,524631.419,1225.000,4900.000,56.250,3920.000,9690.000,9690.000
block-0-1-bn2,16587.936,28987.155,4900.000,4900.000,0.039,3920.039,0.000,7840.000
block-0-1-conv3,191151.822,416484.232,4900.000,1960.000,25.000,980.000,0.000,12766.000
block-0-1-bn3,4213.785,6979.020,1960.000,1960.000,0.010,980.010,0.000,1960.000
block-0-1-downsample,3748.224,47.314,1960.000,980.000,0.000,980.000,0.000,980.000
block-0-1-relu,2506.824,3748.649,980.000,980.000,0.000,980.000,0.000,1960.000
block-0-2-conv1,12299.211,43057.680,980.000,1225.000,1.562,246.000,0.000,4166.000
block-0-2-bn1,1067.843,1864.139,1225.000,1225.000,0.002,246.003,0.000,492.000
block-0-2-conv2,140081.062,524631.419,1225.000,4900.000,56.250,3920.000,9690.000,9690.000
block-0-2-bn2,16587.936,28987.155,4900.000,4900.000,0.039,3920.039,0.000,7840.000
block-0-2-conv3,191151.822,416484.232,4900.000,1960.000,25.000,980.000,0.000,12766.000
block-0-2-bn3,4213.785,6979.020,1960.000,1960.000,0.010,980.010,0.000,1960.000
block-0-2-downsample,3748.224,47.314,1960.000,980.000,0.000,980.000,0.000,980.000
block-0-2-relu,2506.824,3748.649,980.000,980.000,0.000,980.000,0.000,1960.000
block-1-0-conv1,26062.741,58501.300,980.000,1470.000,3.125,490.000,0.000,4414.000
block-1-0-bn1,2071.654,3434.348,1470.000,1470.000,0.005,490.005,0.000,980.000
block-1-0-conv2,396410.346,971175.622,1470.000,2940.000,225.000,1960.000,0.000,3656.000
block-1-0-bn2,7966.111,14861.003,2940.000,2940.000,0.078,1960.078,0.000,3920.000
block-1-0-conv3,173927.749,410858.114,2940.000,1470.000,100.000,490.000,0.000,10912.000
block-1-0-bn3,2049.025,3575.383,1470.000,1470.000,0.020,490.020,0.000,980.000
block-1-0-downsample,26661.261,75239.737,1470.000,490.000,12.500,980.020,489.980,3430.000
