op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,1446.412,1775.588,0.062,32.000,11.469,48.141,79.859,128.000
enc-1st-layernorm,102.854,388.386,32.000,64.000,0.000,32.125,0.000,256.000
enc-attention-qkv,234.175,1160.681,64.000,44.000,0.750,12.000,20.000,112.000
enc-attention-score,259.372,610.864,44.000,164.000,0.000,128.000,128.000,256.000
enc-attention-softmax,481.532,506.897,164.000,164.000,0.000,128.000,0.000,384.000
enc-attention-dropout,480.595,416.602,164.000,164.000,0.000,192.000,0.000,512.000
enc-attention-context,353.484,496.279,164.000,36.000,0.000,4.000,0.000,148.000
enc-attention-dense,609.721,174.530,36.000,64.002,0.250,32.000,0.000,96.000
enc-post-attention-dropout,360.302,203.127,64.002,32.000,0.000,48.000,32.000,208.000
enc-2nd-layernorm,103.606,390.973,32.000,64.000,0.000,32.125,0.000,256.000
enc-MLP-GEMM-1,222.847,1224.802,64.000,48.001,1.000,16.000,0.000,82.000
enc-MLP-gelu,48.808,140.623,48.001,48.000,0.000,16.000,0.000,128.000
enc-MLP-GEMM-2,740.045,407.946,48.000,64.002,1.000,32.000,0.000,114.000
enc-post-MLP-dropout,360.105,259.683,64.002,32.000,0.000,48.000,32.000,208.000
enc-final-layernorm,214.050,1720.052,32.000,32.000,0.000,64.125,0.000,128.000
decoder-embedding,673.221,57.110,32.000,40.000,11.469,44.570,9.430,112.000
dec-1st-layernorm,41.674,112.305,40.000,48.000,0.000,8.031,0.000,168.000
dec-attention-qkv-1,208.919,426.865,48.000,43.000,0.750,3.000,0.000,120.000
dec-attention-score-1,62.718,147.042,43.000,49.000,0.000,8.000,12.000,116.000
dec-attention-softmax-1,69.044,83.557,49.000,49.000,0.000,8.000,12.000,112.000
dec-attention-dropout-1,58.756,65.253,49.000,49.000,0.000,12.000,0.000,132.000
dec-attention-context-1,81.595,122.359,49.000,41.000,0.000,1.000,1.000,96.000
dec-attention-dense-1,267.349,145.401,41.000,48.002,0.250,8.000,12.000,114.000
dec-post-attention-dropout-1,98.732,85.775,48.002,40.000,0.000,12.000,8.000,164.000
dec-2nd-layernorm,41.753,111.415,40.000,48.000,0.000,8.031,0.000,168.000
dec-attention-qkv-2,251.964,1421.010,48.000,49.000,0.750,9.000,13.000,180.000
dec-attention-score-2,73.068,161.768,49.000,76.000,0.000,32.000,32.000,162.000
dec-attention-softmax-2,125.383,133.888,76.000,76.000,0.000,32.000,0.000,192.000
dec-attention-dropout-2,122.900,107.855,76.000,76.000,0.000,48.000,0.000,224.000
dec-attention-context-2,82.455,143.573,76.000,41.000,0.000,1.000,1.000,128.000
dec-attention-dense-2,277.119,158.119,41.000,48.002,0.250,8.000,12.000,114.000
dec-post-attention-dropout-2,98.602,83.531,48.002,40.000,0.000,12.000,8.000,164.000
dec-3rd-layernorm,39.248,111.524,40.000,48.000,0.000,8.031,0.000,168.000
dec-MLP-GEMM-1,77.521,467.848,48.000,44.001,1.000,4.000,0.000,118.000
dec-MLP-gelu,34.363,108.368,44.001,44.000,0.000,4.000,0.000,116.000
dec-MLP-GEMM-2,311.267,164.720,44.000,48.002,1.000,8.000,0.000,134.000
dec-post-MLP-dropout,98.758,85.492,48.002,40.000,0.000,12.000,8.000,164.000
dec-final-layernorm,65.261,1628.259,40.000,40.000,0.000,16.031,3.969,132.000
t5-post-process,1660.032,1674.675,8.000,0.000,7.469,60.051,29.949,82.000
