op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,10647.392,14258.218,27.562,735.000,0.179,736.000,1472.000,0.000
bn1,3297.329,5233.353,735.000,735.000,0.002,736.003,0.000,1472.000
relu1,1969.206,2717.555,735.000,735.000,0.000,736.000,0.000,1472.000
maxpool,1755.071,7513.595,735.000,183.750,0.000,552.000,0.000,920.000
block-0-0-conv1,2591.151,9003.115,183.750,367.500,0.391,184.000,0.000,920.000
block-0-0-bn1,860.167,1278.394,367.500,367.500,0.002,184.003,0.000,368.000
block-0-0-conv2,13700.831,28298.706,367.500,551.250,7.031,368.000,1270.000,1270.000
block-0-0-bn2,1569.754,2399.266,551.250,551.250,0.005,368.005,0.000,736.000
block-0-0-conv3,18407.059,41476.160,551.250,918.750,3.125,736.000,0.000,1844.000
block-0-0-bn3,3080.416,4855.484,918.750,918.750,0.010,736.010,0.000,1472.000
block-0-0-downsample,15409.619,27532.309,918.750,735.000,1.562,1472.010,735.990,1106.000
block-0-0-relu,1974.934,2717.263,735.000,735.000,0.000,736.000,0.000,1472.000
block-0-1-conv1,9890.139,37080.288,735.000,918.750,1.562,184.000,0.000,3130.000
block-0-1-bn1,860.167,1278.394,918.750,918.750,0.002,184.003,0.000,368.000
block-0-1-conv2,13700.831,28298.706,918.750,1102.500,7.031,368.000,1270.000,1270.000
block-0-1-bn2,1569.754,2399.266,1102.500,1102.500,0.005,368.005,0.000,736.000
block-0-1-conv3,18407.059,41476.160,1102.500,1470.000,3.125,736.000,0.000,1844.000
block-0-1-bn3,3080.416,4855.484,1470.000,1470.000,0.010,736.010,0.000,1472.000
block-0-1-downsample,2805.507,49.800,1470.000,735.000,0.000,736.000,0.000,736.000
block-0-1-relu,1974.934,2717.263,735.000,735.000,0.000,736.000,0.000,1472.000
block-0-2-conv1,9890.139,37080.288,735.000,918.750,1.562,184.000,0.000,3130.000
block-0-2-bn1,860.167,1278.394,918.750,918.750,0.002,184.003,0.000,368.000
block-0-2-conv2,13700.831,28298.706,918.750,1102.500,7.031,368.000,1270.000,1270.000
block-0-2-bn2,1569.754,2399.266,1102.500,1102.500,0.005,368.005,0.000,736.000
block-0-2-conv3,18407.059,41476.160,1102.500,1470.000,3.125,736.000,0.000,1844.000
block-0-2-bn3,3080.416,4855.484,1470.000,1470.000,0.010,736.010,0.000,1472.000
block-0-2-downsample,2805.507,49.800,1470.000,735.000,0.000,736.000,0.000,736.000
block-0-2-relu,1974.934,2717.263,735.000,735.000,0.000,736.000,0.000,1472.000
block-1-0-conv1,19694.746,46227.098,735.000,1102.500,3.125,367.500,0.000,3316.000
block-1-0-bn1,1569.754,2399.266,1102.500,1102.500,0.005,368.005,0.000,736.000
block-1-0-conv2,39956.439,100484.222,1102.500,918.750,28.125,183.750,28.250,1104.000
block-1-0-bn2,756.216,1229.328,918.750,918.750,0.010,184.010,0.000,368.000
block-1-0-conv3,18121.243,40034.336,918.750,1102.500,12.500,368.000,0.000,1350.000
block-1-0-bn3,1487.720,2472.901,1102.500,1102.500,0.020,368.020,0.000,736.000
block-1-0-downsample,21703.780,57905.209,1102.500,367.500,12.500,736.020,367.980,2576.000
block-1-0-relu,963.342,1362.479,367.500,367.500,0.000,368.000,0.000,736.000
block-1-1-conv1,9656.262,23041.576,367.500,459.375,6.250,91.875,0.000,1570.000
block-1-1-bn1,400.752,609.106,459.375,459.375,0.005,92.005,0.000,184.000
block-1-1-conv2,12674.278,24626.517,459.375,551.250,28.125,184.000,734.000,734.000
block-1-1-bn2,756.216,1229.328,551.250,551.250,0.010,184.010,0.000,368.000
block-1-1-conv3,18121.243,40034.336,551.250,735.000,12.500,368.000,0.000,1350.000
block-1-1-bn3,1487.720,2472.901,735.000,735.000,0.020,368.020,0.000,736.000
block-1-1-downsample,1382.810,36.645,735.000,367.500,0.000,368.000,0.000,368.000
block-1-1-relu,963.342,1362.479,367.500,367.500,0.000,368.000,0.000,736.000
block-1-2-conv1,9656.262,23041.576,367.500,459.375,6.250,91.875,0.000,1570.000
block-1-2-bn1,400.752,609.106,459.375,459.375,0.005,92.005,0.000,184.000
block-1-2-conv2,12674.278,24626.517,459.375,551.250,28.125,184.000,734.000,734.000
block-1-2-bn2,756.216,1229.328,551.250,551.250,0.010,184.010,0.000,368.000
block-1-2-conv3,18121.243,40034.336,551.250,735.000,12.500,368.000,0.000,1350.000
block-1-2-bn3,1487.720,2472.901,735.000,735.000,0.020,368.020,0.000,736.000
